commit_hash,author,date_iso,subject
"a84ba94f317048507bb2e1cb192f49a7a36638b4","Playr","2026-04-23T23:01:27-04:00","Add site notifications center and update release logging rules"
"7a1e2028798af6c5edcf562af52b1c321ba42cad","Playr","2026-04-23T22:43:09-04:00","Add owner 2048 admin tools and fix double-move bug"
"d4d7ba7b5e5bd77473d7c0f1f7dea3a90aafbf49","Playr","2026-04-23T20:20:33-04:00","Add site policy and contact pages"
"9382cc11a308ed713db7b7a229e6158b5286e4df","Playr","2026-04-23T20:02:20-04:00","Add VIP ad-free account support"
"82e3c9685ff0ab68d70c29742ca85a1b797d8c12","Playr","2026-04-23T19:56:58-04:00","Add root ads.txt for AdSense"
"d622ca3e5b81639c4cba9a341c1157b092630074","Playr","2026-04-23T19:46:50-04:00","Add Google AdSense loader site-wide"
"55897bc63ba001849fcbcc2571eb971ae2f4dc46","Playr","2026-04-23T18:41:37-04:00","Polish Pac-Man ghost behavior and pacing"
"4fa7e9b6289174c37648f68e6e0acec1d2064ed5","Playr","2026-04-23T16:34:03-04:00","Fix arcade UI issues and wire Pac-Man maze update"
"238e020de12ba3430e654a0fe8ac7aa5e08a4696","Playr","2026-04-22T21:47:12-04:00","Reset Infinite Craft saved progress"
"f314a991c16d47633c95a42ac6913af59e458ea8","Playr","2026-04-22T21:43:12-04:00","Finish Infinite Craft shared dataset"
"ac4ef21d6bc4214311fc8b5c05b4bc33bfb1c3a9","Playr","2026-04-22T21:21:39-04:00","Use shared Infinite Craft recipe chunks"
"9421b59a8f3ad9fb6d4ece7f6aeb412b4fdb330e","Playr","2026-04-21T22:27:47-04:00","Add core Steam and Engine canonical recipes"
"62a61abc87f00adcf1d4f9250143b1fa8277bcab","Playr","2026-04-21T22:24:02-04:00","Hard-disable dynamic recipe generation and clear stale pair cache"
"a4705df6a881bd55ffdb2953d12b12c0b200f88e","Playr","2026-04-21T22:19:48-04:00","Disable made-up recipe fallback and enforce known results"
"9b327a37755394567f7c38949ee5bede774f6ba8","Playr","2026-04-21T22:19:25-04:00","Prioritize canonical recipe sources over generated fallbacks"
"a7aff5f900045230744f8e6638c98dafae90ba81","Playr","2026-04-21T21:30:50-04:00","Improve Infinite Craft recipe accuracy, dedupe inventory, and bubble sidebar UI"
"955661d34c82d4ce0239ad5062e1024b182b5b9a","Playr","2026-04-21T20:52:33-04:00","Fix Infinite Craft pair-direction lookups and fallback gating"
"60ecf32eba6bf7b10bddaebecda0e4d15e82ff85","Playr","2026-04-21T20:45:32-04:00","Sync pending hub and docs updates"
"b41172fa821547e3a5beec481df8afe40b6582b7","Playr","2026-04-21T20:22:43-04:00","Fix Infinite Craft fallback combos and emoji upgrades"
"e3ea0d34c87bd12948e3818bdebc825e08f54bd9","Playr","2026-04-21T20:14:30-04:00","Fix Infinite Craft recipe fallback and canonical emojis"
"b923680e0d3f41fd4a0835d1514609940fd9788f","Playr","2026-04-21T17:20:07-04:00","Enforce local updates logs and include latest minesweeper changes"
"ad1c34c8bfa300f92340457f91f9008a5ec87ccc","Playr","2026-04-21T17:00:27-04:00","Restrict cookie clicker admin toggle to owner@playr.io"
"9958b764d21fbffcd156d44ff80c37dccfb6fb06","Playr","2026-04-21T16:55:43-04:00","Fix UI/admin issues in 2048, cookie clicker, pac-man, and wordle"
"4a25cd7acf78612668454effb998cc7a71120d66","Playr","2026-04-21T14:02:09-04:00","Update admin UI flows and add deployment workflow docs"
"3f3f4bddcbff69113b047c0be7e7e8bb37be588c","784594","2026-04-20T22:13:39-04:00","Create CNAME"
"b12141645e507ea3b3b3694e10d177057815e97b","784594","2026-04-20T21:57:15-04:00","Delete CNAME"
"ceb143769cc42db89df34ce3f03048a963163f81","784594","2026-04-20T21:57:04-04:00","Update CNAME"
"1ff581fa1ff3fa206d570af5bbb7c8f044de6d5b","784594","2026-04-20T21:55:27-04:00","Create CNAME"
"caeabc35874fce43cacba1444985eaf803aec78c","Playr","2026-04-20T21:52:19-04:00","Upload Playr project without oversized dataset files"
"3bcd690e433841ab06ec383279f190e5a71e1d58","784594","2026-04-20T21:35:53-04:00","Initial commit"
